rownames,sample,species,zone,month,type,sex,env_temp,water_temp,date,time,weight,lenght,age
FILTER-AA,PGA01W,Water,Water,Aug,Environment,NA,34°C,27°C,28_08_2020,13:45,NA,NA,NA
FILTER-AB,PGA02W,Water,Water,Sept,Environment,NA,30°C,26°C,5_09_2020,12:10,NA,NA,NA
FILTER-AC,SRA01W,Water,Water,Sept,Environment,NA,28°C,28°C,21_09_2020,02:58,NA,NA,NA
SWAB-1,PGA01S,Prionace_glauca,Skin,Aug,Shark,F,34°C,27°C,28_08_2020,13:45,4kg,100cm,young
SWAB-10,SRA01M,Somniosus_rostratus,Mouth,Sept,Shark,F,28°C,28°C,21_09_2020,02:58,500g,100cm,mature
SWAB-11,SRA01G,Somniosus_rostratus,Gills,Sept,Shark,F,28°C,28°C,21_09_2020,02:58,500g,100cm,mature
SWAB-12,SRA01C,Somniosus_rostratus,Cloaca,Sept,Shark,F,28°C,28°C,21_09_2020,02:58,500g,100cm,mature
SWAB-13,SRA02S,Somniosus_rostratus,Skin,Sept,Shark,M,28°C,28°C,21_09_2020,02:58,600g,110cm,mature
SWAB-14,SRA02M,Somniosus_rostratus,Mouth,Sept,Shark,M,28°C,28°C,21_09_2020,02:58,600g,110cm,mature
SWAB-15,SRA02G,Somniosus_rostratus,Gills,Sept,Shark,M,28°C,28°C,21_09_2020,02:58,600g,110cm,mature
SWAB-16,SRA02C,Somniosus_rostratus,Cloaca,Sept,Shark,M,28°C,28°C,21_09_2020,02:58,600g,110cm,mature
SWAB-17,SRA03S,Somniosus_rostratus,Skin,Sept,Shark,F,25°C,28°C,21_09_2020,06:36,700g,120cm,mature
SWAB-18,SRA03M,Somniosus_rostratus,Mouth,Sept,Shark,F,25°C,28°C,21_09_2020,06:36,700g,120cm,mature
SWAB-19,SRA03G,Somniosus_rostratus,Gills,Sept,Shark,F,25°C,28°C,21_09_2020,06:36,700g,120cm,mature
SWAB-2,PGA01M,Prionace_glauca,Mouth,Aug,Shark,F,34°C,27°C,28_08_2020,13:45,4kg,100cm,young
SWAB-20,SRA03C,Somniosus_rostratus,Cloaca,Sept,Shark,F,25°C,28°C,21_09_2020,06:36,700g,120cm,mature
SWAB-3,PGA01G,Prionace_glauca,Gills,Aug,Shark,F,34°C,27°C,28_08_2020,13:45,4kg,100cm,young
SWAB-4,PGA01C,Prionace_glauca,Cloaca,Aug,Shark,F,34°C,27°C,28_08_2020,13:45,4kg,100cm,young
SWAB-5,PGA02S,Prionace_glauca,Skin,Sept,Shark,M,30°C,26°C,5_09_2020,12:10,4kg,100cm,young
SWAB-7,PGA02G,Prionace_glauca,Gills,Sept,Shark,M,30°C,26°C,5_09_2020,12:10,4kg,100cm,young
SWAB-8,PGA02C,Prionace_glauca,Cloaca,Sept,Shark,M,30°C,26°C,5_09_2020,12:10,4kg,100cm,young
SWAB-9,SRA01S,Somniosus_rostratus,Skin,Sept,Shark,F,28°C,28°C,21_09_2020,02:58,500g,100cm,mature
